# ID,label,height,mean_z,std_z,root_density,area,shape_index,circularity,elongation_xy,slenderness,rectangularity,footprint_density,bbox_volume,point_density_3d,lower_fraction,middle_fraction,upper_fraction,top_roughness,linearity,planarity,sphericity,anisotropy,curvature
 47.000000,  0.000000,  8.000000, 10.375638,  1.531560,  0.000496,368.821869,  4.784088,  0.779815,  1.852862,  0.294117,  0.923680, 38.267796,3194.367920,  4.418402,  0.049384,  0.133059,  0.817557,  0.164113,  0.128588,  0.832645,  0.038736,  0.961233,  0.020279
 48.000000,  0.000000,  5.520000, 13.813815,  0.812003,  0.003091, 97.998650,  2.484739,  0.791683,  1.564553,  0.414104,  0.862882, 33.010654,626.913757,  5.160200,  0.045440,  0.643277,  0.311283,  0.186833,  0.591383,  0.269683,  0.138915,  0.861066,  0.089766
 49.000000,  0.000000,  7.570001, 14.513848,  1.035568,  0.001029,143.385406,  3.010487,  0.794289,  1.612563,  0.491558,  0.974947, 40.673592,1113.319580,  5.238388,  0.044925,  0.245199,  0.709877,  0.243463,  0.393710,  0.354078,  0.252184,  0.747788,  0.135696
 50.000000,  0.000000,  4.890000, 10.501722,  0.517281,  0.001079,215.288177,  3.775667,  0.832103,  1.116310,  0.292814,  0.861732, 34.423626,1221.677734,  6.066248,  0.005667,  0.561867,  0.432465,  0.139435,  0.462304,  0.368617,  0.169047,  0.830921,  0.099048
 51.000000,  0.000000,  4.820000,  9.278345,  0.744127,  0.001096,218.137085,  3.891155,  0.872243,  1.119548,  0.284366,  0.850029, 37.636883,1236.922729,  6.637440,  0.055055,  0.082095,  0.862850,  0.058994,  0.719451,  0.117159,  0.163370,  0.836611,  0.113145
 52.000000,  0.000000,  9.350000, 10.895146,  2.025688,  0.000781,392.707611,  5.215804,  0.870529,  1.266940,  0.381788,  0.829561, 32.609505,4426.214844,  2.893217,  0.081524,  0.297048,  0.621427,  0.242351,  0.102591,  0.821446,  0.075929,  0.924037,  0.038478
 53.000000,  0.000000,  4.150000,  7.376841,  0.538761,  0.002642, 71.700378,  2.221462,  0.864901,  1.009186,  0.472126,  0.936514, 36.959351,317.727722,  8.340475,  0.020000,  0.493208,  0.486792,  0.096203,  0.285717,  0.598926,  0.115316,  0.884643,  0.063030
 54.000000,  0.000000, 10.970000, 14.912385,  2.235256,  0.000366,352.299652,  4.935906,  0.869024,  1.295034,  0.489077,  0.906848, 38.793678,4261.712402,  3.206927,  0.060877,  0.299700,  0.639423,  0.198779,  0.111256,  0.863716,  0.024996,  0.974972,  0.013062
 55.000000,  0.000000,  9.150000, 10.938170,  1.674132,  0.000070,374.589264,  4.995235,  0.837079,  1.119571,  0.438218,  0.961936, 38.001621,3563.119141,  3.995095,  0.029013,  0.378012,  0.592975,  0.125219,  0.397911,  0.367291,  0.234778,  0.765202,  0.127816
 56.000000,  0.000000,  4.780000,  8.549200,  0.720514,  0.001323,164.589966,  3.191330,  0.777589,  1.717090,  0.273456,  0.924943, 36.745857,850.582214,  7.110424,  0.021660,  0.327216,  0.651124,  0.080828,  0.101722,  0.865953,  0.032284,  0.967676,  0.016723
